sample	p_pseudoaligned
201190	62.8
201191	75.7
202178	73.2
202179	80.7
203166	59.3
203167	76
204154	62.7
204155	75.2
205142	70.7
205143	77.9
206130	76
206131	78.3
207118	73.9
207119	75.3
208106	72.2
208107	68.8
209189	68.6
209190	74.5
210177	70.3
210178	71.1
211165	74.2
211166	77.1
212153	73.8
212154	77.2
213142	82.9
214130	80.8
215118	77.3
216106	73.3
217189	75.8
218177	78.5
219165	82.2
220153	74.5
221141	76.4
222129	74.7
223117	74.8
224105	80.1
225188	73.2
226176	75.2
227164	74.5
228152	75.8
249196	70.8
250184	70.7
251172	81
252160	74.1
253148	70.9
254136	76.1
255124	77.5
256112	79.8
257195	74.8
258183	75.2
259171	74.1
260159	74.3
261147	72.4
262135	79.5
263123	71.5
264111	73
265194	72.8
266182	72.8
267170	77.2
268158	75.1
269146	73
270134	71.7
271122	72.5
272110	70.3
273193	74.6
274181	75
275169	75.9
276157	74.1
277145	73.8
278133	73.4
279121	72.2
280109	66.5
281192	75.9
281193	78.8
282180	75.6
282181	77.9
283168	73.2
283169	76.3
284156	76.7
284157	79.2
285144	75.7
285145	82.9
286132	80.4
286133	77.7
287120	75.3
287121	75.2
288108	79.4
288109	72.2
289191	73.6
289192	70.2
290179	71.2
290180	74.6
291167	74.8
291168	72.7
292155	74.9
292156	74.1
293143	70.4
293144	77.3
294131	69.7
294132	73
295119	72.8
295120	72.4
296107	78.7
296108	75
