sample_name,sample_code,origin_sample,overnight,collection_day,age_months,age,sex,yield_conc_rna,rin_rna,batch_trap,region,axon,ip,ovx,dat_enrichment,th_enrichment,reads,th_counts,dat_counts,th_outlier,density_outlier,suspected_outlier,ip_pool
IPMB3MA,281193,S2_3m_MB1_IP,hour,d2,5,young,mixed,1.9,8.1,b3,mb,mb,ip,wt,147,116.2,45263801,569933.9163,107865.5709,n,n,y,n
IPDS3MA,282181,S2_3m_DS_IP,overnight,d2,5,young,mixed,1.83,7.4,b3,ds,axon,ip,wt,4096,6.4,45214775,3814.105441,622.6735343,n,n,n,n
IPVS3MA,283169,S2_3m_VS_IP,overnight,d2,5,young,mixed,1.73,7.1,b3,vs,axon,ip,wt,512,7.6,44771663,6285.022284,498.0173863,n,n,n,n
IPMB3MB,284157,S3_3m_MB1_IP,hour,d3,5,young,mixed,1.5,8.2,b3,mb,mb,ip,wt,NA,NA,42168620,491464.7644,101670.3676,n,n,n,n
IPDS3MB,285145,S3_3m_DS_IP,overnight,d3,5,young,mixed,1.39,8.2,b3,ds,axon,ip,wt,NA,NA,42155722,7484.358686,1572.960701,n,y,n,n
IPVS3MB,286133,S3_3m_VS_IP,overnight,d3,5,young,mixed,1.27,8.4,b3,vs,axon,ip,wt,NA,NA,42873224,8168.202641,1054.627486,n,n,n,n
IPMB3MC,287121,S4_3m_MB1_IP,hour,d4,6,young,mixed,0.84,8.3,b3,mb,mb,ip,wt,NA,NA,44783691,758389.2603,98235.77062,n,n,n,n
IPDS3MC,288109,S4_3m_DS_IP,overnight,d4,6,young,mixed,1.42,7.6,b3,ds,axon,ip,wt,NA,NA,42368690,7013.1217,1638.745269,n,n,n,n
IPVS3MC,289192,S4_3m_VS_IP,overnight,d4,6,young,mixed,1.11,8.2,b3,vs,axon,ip,wt,NA,NA,46957841,149295.0352,23672.57572,y,n,y,n
IPMB3MD,290180,S5_3m_MB1_IP,hour,d5,6,young,mixed,1.29,7.3,b3,mb,mb,ip,wt,NA,NA,44293980,598397.8969,71529.41728,n,n,n,n
