sample_name,sample_code,origin_sample,collection_day,age_months,yield_conc_rna,rin_rna,batch_trap,region,ip,ovx,dat_enrichment,th_enrichment,reads
IPMB3MA,281193,S2_3m_MB1_IP,2,5,1.9,8.1,3,1,1,0,147.0,116.2,45263801
IPDS3MA,282181,S2_3m_DS_IP,2,5,1.83,7.4,3,2,1,0,4096.0,6.4,45214775
IPVS3MA,283169,S2_3m_VS_IP,2,5,1.73,7.1,3,3,1,0,512.0,7.6,44771663
IPMB3MB,284157,S3_3m_MB1_IP,3,5,1.5,8.2,3,1,1,0,,,42168620
IPDS3MB,285145,S3_3m_DS_IP,3,5,1.39,8.2,3,2,1,0,,,42155722
IPVS3MB,286133,S3_3m_VS_IP,3,5,1.27,8.4,3,3,1,0,,,42873224
IPMB3MC,287121,S4_3m_MB1_IP,4,6,0.84,8.3,3,1,1,0,,,44783691
IPDS3MC,288109,S4_3m_DS_IP,4,6,1.42,7.6,3,2,1,0,,,42368690
IPVS3MC,289192,S4_3m_VS_IP,4,6,1.11,8.2,3,3,1,0,,,46957841
IPMB3MD,290180,S5_3m_MB1_IP,5,6,1.29,7.3,3,1,1,0,,,44293980
IPDS3MD,291168,S5_3m_DS_IP,5,6,0.996,7.7,3,2,1,0,,,43843787
IPVS3MD,292156,S5_3m_VS_IP,5,6,0.81,7.8,3,3,1,0,,,41688941
IPMB3ME,293144,S6_3m_MB1_IP,6,3,1.19,,3,1,1,0,,,46520434
IPDS3ME,294132,S6_3m_DS_IP,6,3,0.91,,3,2,1,0,,,45030601
IPVS3ME,295120,S6_3m_VS_IP,6,3,0.92,,3,3,1,0,,,45264592
IPMB3MF,296108,S5_3m_MBO_IP,5,6,3.22,7.3,3,1,1,0,,,44158614
IPMB3MG,201191,S6_3m_MBO_IP,6,3,3.31,,3,1,1,0,,,42764959
IPMB18MA,202179,S2_18m_MB1_IP,2,22,3.04,7.6,3,1,1,0,,,41751148
IPDS18MA,203167,S2_18m_DS_IP,2,22,4.35,7.4,3,2,1,0,,,39620089
IPVS18MA,204155,S2_18m_VS_IP,2,22,4.57,7.6,3,3,1,0,,,42373139
IPMB18MB,205143,S3_18m_MBO_IP,3,22,5.77,8,3,1,1,0,,,41616992
IPDS18MB,206131,S3_18m_DS_IP,3,22,9.94,9.7,3,2,1,0,,,44497483
IPVS18MB,207119,S3_18m_VS_IP,3,22,8.3,9.5,3,3,1,0,,,42306891
IPMB18MC,208107,S4_18m_MB1_IP,4,22,1.01,8.1,3,1,1,0,,,42745641
IPDS18MC,209190,S4_18m_DS_IP,4,22,1.6,7.8,3,2,1,0,,,46772198
IPVS18MC,210178,S4_18m_VS_IP,4,22,1.66,7,3,3,1,0,,,43726121
IPMB18MD,211166,S5_18m_MB1_IP,5,22,1.71,6.9,3,1,1,0,,,42562082
IPDS18MD,212154,S5_18m_DS_IP,5,22,3.14,7.3,3,2,1,0,,,41616348
IPVS18MD,213142,S5_18m_VS_IP,5,22,4.15,7.2,3,3,1,0,,,45969937
IPMB18ME,214130,S6_18m_MB1_IP,6,22,3.29,,3,1,1,0,,,45032017
IPDS18ME,215118,S6_18m_DS_IP,6,22,6.32,,3,2,1,0,,,43113993
IPVS18ME,216106,S6_18m_VS_IP,6,22,4.57,,3,3,1,0,,,47350998
IPMB18MF,217189,S5_18m_MBO_IP,5,22,2.36,,3,1,1,0,,,44850088
IPMB18MG,218177,S6_18m_MBO_IP,6,22,7.39,,3,1,1,0,,,44819604
UBMB3mPOOLA-E,219165,,,4.857142857,,,3,1,0,0,,,41166880
UBDS3mPOOLA-C,220153,,,5.333333333,,,3,2,0,0,,,41719651
UBVS3mPOOLA-C,221141,,,5.333333333,,,3,3,0,0,,,43170371
UBDS3mPOOLD-E,222129,,,4.5,,,3,2,0,0,,,42583380
UBVS3mPOOLD-E,223117,,,4.5,,,3,3,0,0,,,43671533
UBMB18mPOOLA-E,224105,,,22,,,3,1,0,0,,,41740622
UBDS18mPOOLA-C,225188,,,22,,,3,2,0,0,,,43662190
UBVS18mPOOLA-C,226176,,,22,,,3,3,0,0,,,43878053
UBDS18mPOOLD-E,227164,,,22,,,3,2,0,0,,,43788175
UBVS18mPOOLD-E,228152,,,22,,,3,3,0,0,,,42740604
IP1M3m,249196,,7,3,1.67,9.25,2,1,1,0,10.04,37.56,28733491
IP1M3mPD,250184,,7,3,1.48,8.65,2,1,1,1,10.26,30.2,25698393
IP2M3m,251172,,8,3,0.23,8.7,2,1,1,0,8.53,26.84,18140634
IP2M3mPD,252160,,8,3,0.9,9.3,2,1,1,1,8.58,32.75,33522444
IP3M3m,253148,,9,3,0.74,7.9,2,1,1,0,10.03,30.97,29550685
IP3M3mPD,254136,,9,3,0.7,7.9,2,1,1,1,9.91,26.64,30240155
IP4M3m,255124,,10,3,0.79,8.85,2,1,1,0,8.54,34.81,29604606
IP4M3mPD,256112,,10,3,0.65,9.4,2,1,1,1,10.14,28.84,29516632
IP1F3m,257195,,7,3,0.72,8.2,2,1,1,0,13.13,41.03,27456619
IP1F3mPD,258183,,7,3,0.69,9.45,2,1,1,1,14.69,39.02,25173050
IP2F3m,259171,,8,3,1.06,8.1,2,1,1,0,10.5,28.77,27901200
IP2F3mPD,260159,,8,3,0.9,9.45,2,1,1,1,11.02,31.15,28932768
IP3F3m,261147,,9,3,1.58,7.7,2,1,1,0,9.37,33.33,29755641
IP3F3mPD,262135,,9,3,0.71,7.8,2,1,1,1,11.03,47.27,25577835
IP4F3m,263123,,10,3,1.53,9,2,1,1,0,12.11,31.82,34294633
IP4F3mPD,264111,,10,3,1.86,8.25,2,1,1,1,10.06,29.01,25186921
IP1M18m,265194,,7,18,2.23,8.4,2,1,1,0,17.71,38.42,22307518
IP1M18mPD,266182,,7,18,2.74,9.7,2,1,1,1,11.14,29.56,30055262
IP2M18m,267170,,8,18,1.72,10,2,1,1,0,18.52,40.21,22049259
IP2M18mPD,268158,,8,18,3.45,8,2,1,1,1,11.96,30.63,24014242
IP3M18m,269146,,9,18,3.5,9.2,2,1,1,0,20.19,44.13,23874926
IP3M18mPD,270134,,9,18,4.91,8,2,1,1,1,19.76,49.27,28849086
IP4M18m,271122,,10,18,2.81,8.8,2,1,1,0,25.61,60.18,24979333
